Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11
8,7,1,3,6,2,1,9,3,8,"Avere molteplici tutor è sicuramente positvo, il planning incrementale degli argomenti da affrontare andrebbe rivisitato rifinendolo adottando magari un approccio ""running example"" o ""running project"", legando così una lezione ad un'altra. Spiegare meglio il significato e l'uso di tutti i comandi, anche i più elementari: a volte sono stati calati dall'alto delle slide con la direttiva della copiatura, cosi facendo si ottiene un risultato ottimale istantaneo da parte degli alunni, ma nel lungo periodo essi tendono a dimenticare l'utilità o il corretto utilizzo di un determinato comando. Nonostante queste piccole accortezze da rivedere, l'organizzazione generale è stata buona, considerando essere la prima erogazione dell'insegnamento. Per gli studenti informatici che non conoscono il linguaggio ritengo praticamente obbligatoria la frequentazione, magari spostando il corso a fine secondo anno in prospettiva degli svariati progetti che verranno tenuti nel terzo anno, nei quali è essenziale avere una conoscenza di LaTeX per la redazione della documentazione necessaria."
6,7,1,2,6,4,1,10,4,7,
7,7,1,3,7,7,1,7,6,7,"consiglierei di proporre il corso al cdl in fisioterapia a fine del secondo anno a giugno, in modo che sia più facile mantenere una presenza che a causa del tirocinio dovete avere notato essere stata abbastanza carente. "
7,9,1,3,6,6,1,6,5,8,Approfondire di più qualche aspetto
6,8,1,3,6,5,1,8,6,4,Un orario più felice per erogare un corso.
9,9,1,3,9,3,1,10,2,9,"boh, col tempo che c'era è stato fatto quello che si poteva "
7,7,1,3,7,8,1,8,8,8,"Nonostante alcuni passaggi delle spiegazioni non siano stati particolarmente chiari, c'è stata sempre piena disponibilità in spiegazioni ulteriori. Positivo il fatto che ci fossero tre ""insegnanti"" di modo che mentre uno spiegasse, altri due giravano per l'aula ad ascoltare ed esaudire i dubbi e le richieste dei presenti. Per migliorare il corso aumenterei il monte ore, in modo da poter andare più lentamente nelle spiegazioni di alcuni concetti/comandi più complessi per farli capire in modo più approfondito."
7,8,1,2,8,5,1,8,7,7,Migliorare un po' l'organizzazione generale.
9,9,1,3,9,2,1,10,5,4,"- regolarizzarlo per assumere CFU + note positive: l'umorismo, essere informali, gli esercizi dopo ogni pezzo di teoria. "
8,7,1,3,7,5,1,6,5,7,"Fare più esercizi vedendo le soluzioni insieme, lasciando il giusto tempo per provare a farli da soli. Far trascorrere troppo tempo tra i vari esercizi può far diminuire l'interesse e l'attenzione. Apprezzata molto comunque la disponibilità."
8,8,1,3,9,5,1,8,6,7,"Non ho nulla da criticarvi, continuate esattamente così come avete fatto!"
8,8,1,3,8,3,1,9,5,7,Vorrei durasse di più così da poter approfondire alcuni argomenti 
9,8,1,3,9,5,1,9,5,8,"- Miglior gestione dei tempi; - Migliorare la spiegazione di alcune tematiche, soprattutto sui comandi"
6,7,1,1,6,6,1,7,6,6,più pratica assistita dai docenti
7,8,1,2,7,7,1,4,3,6,Va bene così
9,8,1,3,10,5,1,10,5,7,"Io sinceramente la prima lezione la farei più facile, quella dove avete fatto scrivere hello world per capirci, per il resto vi ringrazio per il corso, mi è stato molto utile"
